# -------------------------------------NOTICE------------------------------------------
# These data readings are Preliminary.
#
# Most data relayed by telemetry have received little or no review.
# Inaccuracies in the data may be present because of instrument
# malfunctions and/or physical changes at the measurement site.
#
# Subsequent review may result in significant revisions to the data.
#
# Retrieved: 2020-01-08 08:55:38 (PST)
# (Note: Gage clock may be different from current time)
#
# This file contains data for 1 Mount Umunhum (6069) sensor(s):
#   2081
#
# -------------------------------------------------------------------------------------
#
# Data provided for Mount Umunhum (6069) sensors
#   over the period of '2019/12/01' to '2020/01/07'
#

Sensor ID,Date and Time (PST),Value (in)
2081,2020-01-07 07:54:20,15.87
2081,2020-01-06 19:54:20,15.87
2081,2020-01-06 07:54:20,15.87
2081,2020-01-05 07:54:16,15.87
2081,2020-01-04 19:54:21,15.87
2081,2020-01-04 07:54:21,15.87
2081,2020-01-03 07:54:22,15.87
2081,2020-01-02 07:54:22,15.87
2081,2019-12-31 19:54:22,15.87
2081,2019-12-31 07:54:23,15.87
2081,2019-12-30 19:54:22,15.87
2081,2019-12-30 03:01:17,15.87
2081,2019-12-29 19:54:23,15.83
2081,2019-12-29 17:05:01,15.83
2081,2019-12-29 16:44:54,15.79
2081,2019-12-29 15:40:18,15.71
2081,2019-12-29 15:29:08,15.67
2081,2019-12-29 14:44:53,15.59
2081,2019-12-29 07:54:23,15.55
2081,2019-12-28 19:54:23,15.55
2081,2019-12-28 07:54:23,15.55
2081,2019-12-27 19:54:23,15.55
2081,2019-12-27 07:54:23,15.55
2081,2019-12-26 19:54:23,15.55
2081,2019-12-26 07:54:23,15.55
2081,2019-12-26 00:10:22,15.55
2081,2019-12-25 23:54:36,15.51
2081,2019-12-25 23:13:32,15.47
2081,2019-12-25 19:54:23,15.43
2081,2019-12-25 04:05:17,15.35
2081,2019-12-24 19:54:23,15.28
2081,2019-12-24 13:07:24,15.28
2081,2019-12-24 11:51:54,15.24
2081,2019-12-23 19:54:22,15.20
2081,2019-12-23 07:54:23,15.20
2081,2019-12-22 19:54:23,15.16
2081,2019-12-22 11:48:59,15.16
2081,2019-12-22 10:58:13,15.08
2081,2019-12-22 10:34:54,15.00
2081,2019-12-22 10:21:33,14.96
2081,2019-12-22 09:58:46,14.92
2081,2019-12-22 09:17:34,14.88
2081,2019-12-22 09:03:55,14.84
2081,2019-12-22 08:56:53,14.80
2081,2019-12-22 08:43:09,14.76
2081,2019-12-22 08:28:32,14.72
2081,2019-12-22 08:04:06,14.65
2081,2019-12-22 08:00:40,14.61
2081,2019-12-22 07:56:05,14.57
2081,2019-12-22 07:44:10,14.53
2081,2019-12-22 07:36:47,14.49
2081,2019-12-22 07:30:41,14.45
2081,2019-12-22 07:10:33,14.33
2081,2019-12-22 06:58:37,14.25
2081,2019-12-22 06:50:40,14.21
2081,2019-12-22 06:45:12,14.17
2081,2019-12-22 06:24:26,14.06
2081,2019-12-22 06:16:26,14.02
2081,2019-12-22 06:08:33,13.98
2081,2019-12-22 06:02:34,13.94
2081,2019-12-22 05:57:33,13.90
2081,2019-12-22 05:52:01,13.86
2081,2019-12-22 05:41:44,13.78
2081,2019-12-22 05:34:28,13.70
2081,2019-12-22 05:21:29,13.58
2081,2019-12-22 05:14:31,13.54
2081,2019-12-22 05:06:54,13.50
2081,2019-12-21 19:54:23,13.46
2081,2019-12-21 07:54:23,13.46
2081,2019-12-20 07:54:24,13.46
2081,2019-12-19 19:54:24,13.46
2081,2019-12-19 07:54:24,13.46
2081,2019-12-19 06:22:23,13.46
2081,2019-12-18 17:47:20,13.43
2081,2019-12-18 16:56:02,13.35
2081,2019-12-18 16:31:53,13.31
2081,2019-12-18 16:02:56,13.27
2081,2019-12-18 15:50:34,13.23
2081,2019-12-18 15:33:36,13.19
2081,2019-12-18 15:10:53,13.15
2081,2019-12-18 15:01:09,13.11
2081,2019-12-18 14:52:48,13.07
2081,2019-12-18 14:38:08,13.03
2081,2019-12-18 14:24:35,12.99
2081,2019-12-18 13:57:24,12.95
2081,2019-12-18 13:16:49,12.91
2081,2019-12-18 11:37:10,12.83
2081,2019-12-18 09:02:45,12.80
2081,2019-12-18 08:48:30,12.76
2081,2019-12-18 08:36:25,12.72
2081,2019-12-18 08:28:53,12.68
2081,2019-12-18 08:05:00,12.64
2081,2019-12-18 07:54:24,12.60
2081,2019-12-18 07:42:13,12.60
2081,2019-12-18 07:38:21,12.56
2081,2019-12-18 06:50:23,12.52
2081,2019-12-18 06:11:45,12.48
2081,2019-12-18 04:13:37,12.44
2081,2019-12-18 03:56:08,12.40
2081,2019-12-18 03:29:55,12.36
2081,2019-12-18 03:14:00,12.32
2081,2019-12-18 02:17:45,12.28
2081,2019-12-18 01:41:23,12.24
2081,2019-12-17 19:54:24,12.20
2081,2019-12-17 07:54:25,12.20
2081,2019-12-16 19:54:25,12.20
2081,2019-12-16 07:54:25,12.20
2081,2019-12-15 19:54:25,12.20
2081,2019-12-15 07:54:25,12.20
2081,2019-12-14 22:31:47,12.20
2081,2019-12-14 19:54:25,12.13
2081,2019-12-14 07:54:25,12.13
2081,2019-12-14 07:02:31,12.13
2081,2019-12-13 07:54:25,12.09
2081,2019-12-13 04:47:03,12.09
2081,2019-12-12 07:54:26,12.05
2081,2019-12-11 23:36:54,11.97
2081,2019-12-11 19:54:27,11.89
2081,2019-12-11 16:08:53,11.85
2081,2019-12-11 13:32:22,11.81
2081,2019-12-11 07:54:27,11.77
2081,2019-12-11 01:01:03,11.77
2081,2019-12-10 21:52:53,11.73
2081,2019-12-10 21:28:21,11.69
2081,2019-12-10 21:01:08,11.65
2081,2019-12-10 19:54:27,11.61
2081,2019-12-09 07:54:28,11.61
2081,2019-12-09 05:39:45,11.61
2081,2019-12-08 19:54:28,11.57
2081,2019-12-08 12:21:38,11.57
2081,2019-12-08 12:16:32,11.54
2081,2019-12-08 09:39:01,11.50
2081,2019-12-08 07:54:28,11.46
2081,2019-12-08 06:52:17,11.46
2081,2019-12-08 05:07:28,11.42
2081,2019-12-08 04:58:59,11.38
2081,2019-12-08 04:46:45,11.34
2081,2019-12-08 04:31:20,11.30
2081,2019-12-08 03:33:30,11.26
2081,2019-12-08 03:14:07,11.22
2081,2019-12-08 03:03:28,11.18
2081,2019-12-08 01:33:25,11.14
2081,2019-12-08 01:33:24,11.14
2081,2019-12-08 00:59:52,11.06
2081,2019-12-08 00:02:57,10.98
2081,2019-12-07 21:59:32,10.94
2081,2019-12-07 21:59:31,10.94
2081,2019-12-07 19:54:28,10.91
2081,2019-12-07 19:06:57,10.91
2081,2019-12-07 18:51:39,10.87
2081,2019-12-07 18:23:30,10.83
