##
## Elephant Seal Data
## From Deb Nolan and Duncan Temple-Lang via Brillinger & Stewart
##
"day","lat","lon","date"
54,34,120,1995-02-23
55,35,121.3,1995-02-24
56,36,122.6,1995-02-25
57,36.5,123.6,1995-02-26
58,36.8,124.6,1995-02-27
59,36.9,125.4,1995-02-28
60,37,125.9,1995-03-01
61,37.2,126.1,1995-03-02
62,38.1,126.4,1995-03-03
63,40.1,127,1995-03-04
64,40.3,128.5,1995-03-05
65,40.6,129.9,1995-03-06
66,40.5,131.3,1995-03-07
67,40.9,131.9,1995-03-08
68,40.5,133.4,1995-03-09
69,40.8,133.8,1995-03-10
70,41.3,134.1,1995-03-11
71,41.9,134.3,1995-03-12
72,42,136,1995-03-13
73,42.9,136.8,1995-03-14
74,43,136.9,1995-03-15
75,42.9,137.6,1995-03-16
76,43.5,138.5,1995-03-17
77,44.1,139.2,1995-03-18
78,44.3,139.4,1995-03-19
79,45,139.2,1995-03-20
80,45,141.7,1995-03-21
81,45.5,141.6,1995-03-22
82,46.1,142.8,1995-03-23
83,46.3,143.1,1995-03-24
84,46.1,143.6,1995-03-25
86,46.1,144.4,1995-03-27
87,46.5,144.8,1995-03-28
88,46.7,144.9,1995-03-29
89,46.8,145.5,1995-03-30
90,46.8,145.5,1995-03-31
91,46.2,145.6,1995-04-01
92,46.5,146.3,1995-04-02
93,47,147.1,1995-04-03
94,46.7,147.2,1995-04-04
95,46.6,146.7,1995-04-05
96,46.8,146,1995-04-06
97,46.2,145.7,1995-04-07
98,46.5,145.6,1995-04-08
99,46.5,144,1995-04-09
100,46.2,144.4,1995-04-10
101,46.2,143.4,1995-04-11
102,45.8,142.5,1995-04-12
103,45,142,1995-04-13
104,44.5,141.5,1995-04-14
105,44,141.2,1995-04-15
106,44,140.2,1995-04-16
107,43,139.4,1995-04-17
108,43,138.7,1995-04-18
109,43.5,137.6,1995-04-19
110,43.4,136.4,1995-04-20
112,42.1,136.4,1995-04-22
113,42.1,134.6,1995-04-23
114,42.3,134.2,1995-04-24
115,42,132.8,1995-04-25
116,41.6,132.2,1995-04-26
117,41.1,132.5,1995-04-27
118,39.5,131.5,1995-04-28
119,39.6,130,1995-04-29
120,39,129.8,1995-04-30
121,39.6,129.4,1995-05-01
122,38.5,127.2,1995-05-02
123,37.1,126.4,1995-05-03
124,36.5,125,1995-05-04
125,36,124.6,1995-05-05
126,35,124,1995-05-06
127,34.6,122.9,1995-05-07
128,34,120,1995-05-08
